,loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1893,1894,2, Graduate, No,5600000,17200000,16,586,13700000,2100000,14300000,4300000, Approved
727,728,3, Not Graduate, Yes,2200000,8800000,2,877,5000000,1300000,6400000,3100000, Approved
3236,3237,4, Graduate, No,1200000,4400000,6,709,2800000,2300000,4100000,1700000, Approved
1528,1529,5, Graduate, Yes,400000,800000,2,759,100000,500000,1300000,300000, Approved
1698,1699,2, Graduate, No,4800000,18900000,4,866,10200000,6000000,13900000,5900000, Approved
2508,2509,2, Not Graduate, Yes,3200000,12500000,8,849,400000,5300000,10400000,4400000, Approved
3342,3343,1, Graduate, Yes,1000000,3000000,10,813,2900000,500000,3300000,800000, Approved
2407,2408,2, Graduate, Yes,900000,3500000,6,763,2300000,300000,2000000,600000, Approved
1989,1990,0, Not Graduate, Yes,4900000,16500000,4,600,11100000,2200000,12000000,6500000, Approved
3390,3391,4, Graduate, No,5800000,13500000,14,816,13800000,9300000,20400000,7900000, Approved
2738,2739,1, Not Graduate, Yes,600000,1400000,10,699,400000,500000,1300000,800000, Approved
2156,2157,4, Graduate, No,3800000,10400000,10,833,7500000,2500000,14100000,4200000, Approved
2531,2532,4, Graduate, No,5700000,21900000,2,871,3200000,1700000,14400000,6100000, Approved
1472,1473,1, Graduate, Yes,5200000,14300000,18,650,5400000,2300000,17600000,3600000, Approved
1904,1905,0, Graduate, Yes,1800000,6000000,12,658,2900000,2300000,4500000,2400000, Approved
1207,1208,1, Not Graduate, Yes,300000,600000,8,816,600000,300000,1100000,200000, Approved
3622,3623,2, Graduate, Yes,3300000,11100000,20,823,4600000,1500000,11700000,2900000, Approved
2597,2598,4, Not Graduate, No,2600000,7200000,16,612,1300000,1000000,5800000,1400000, Approved
1643,1644,2, Not Graduate, Yes,1900000,6800000,6,892,2600000,2200000,6400000,900000, Approved
68,69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000, Approved
3179,3180,0, Not Graduate, No,5700000,21300000,4,697,3000000,6800000,20000000,5500000, Approved
372,373,0, Graduate, Yes,600000,2300000,4,319,1600000,800000,2300000,700000, Approved
4072,4073,3, Graduate, Yes,5300000,17900000,2,580,10200000,6400000,11600000,3600000, Approved
310,311,3, Not Graduate, No,6400000,24400000,4,483,7800000,2400000,19100000,4500000, Approved
2914,2915,3, Not Graduate, Yes,9900000,36500000,16,562,17300000,18500000,22300000,9800000, Approved
4107,4108,1, Graduate, No,8200000,17500000,4,609,4500000,5600000,24100000,7700000, Approved
1360,1361,4, Not Graduate, Yes,8700000,30000000,4,370,17600000,15600000,34600000,12100000, Approved
1506,1507,1, Not Graduate, Yes,400000,1300000,18,801,100000,0,1500000,600000, Approved
1400,1401,3, Not Graduate, Yes,600000,2400000,12,884,600000,800000,1400000,600000, Approved
207,208,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,19600000,5800000, Approved
1079,1080,2, Graduate, No,3300000,8300000,6,653,4700000,3100000,8300000,4600000, Approved
2213,2214,0, Graduate, No,3000000,8100000,6,683,3200000,4900000,10200000,3200000, Approved
3215,3216,2, Graduate, Yes,4000000,13000000,10,552,3700000,1600000,15600000,3400000, Approved
3744,3745,4, Not Graduate, Yes,9200000,29100000,10,731,14500000,8300000,35800000,5000000, Approved
4151,4152,3, Not Graduate, No,1600000,3300000,8,609,4700000,100000,6000000,800000, Approved
3612,3613,0, Not Graduate, Yes,200000,700000,20,724,600000,0,500000,300000, Approved
3916,3917,1, Graduate, Yes,8900000,21200000,8,716,5400000,9200000,23800000,7900000, Approved
2283,2284,1, Not Graduate, Yes,2000000,6600000,10,873,1400000,200000,6300000,2400000, Approved
1351,1352,4, Not Graduate, No,4200000,15500000,18,794,7300000,700000,13400000,2200000, Approved
3232,3233,2, Graduate, No,6500000,14100000,14,577,4600000,12000000,25100000,3900000, Approved
2190,2191,2, Graduate, Yes,5600000,21000000,18,883,9800000,1600000,20900000,6000000, Approved
3486,3487,0, Graduate, Yes,2700000,8400000,6,744,1200000,4100000,7500000,2000000, Approved
214,215,2, Not Graduate, Yes,6700000,15200000,10,689,0,8200000,15000000,6800000, Approved
3030,3031,5, Not Graduate, No,9000000,34300000,10,853,22500000,11900000,32200000,10100000, Approved
3238,3239,3, Graduate, Yes,8000000,25300000,4,306,22300000,7300000,24400000,6600000, Approved
3982,3983,1, Not Graduate, Yes,2300000,5500000,6,861,1600000,1200000,4700000,1700000, Approved
3897,3898,1, Not Graduate, No,3900000,12300000,10,683,1000000,700000,11700000,2400000, Approved
3046,3047,2, Not Graduate, Yes,5000000,14600000,10,808,4400000,3500000,17300000,3100000, Approved
3300,3301,0, Not Graduate, No,1900000,6700000,12,595,3000000,3200000,4900000,1700000, Approved
2692,2693,1, Not Graduate, Yes,9700000,23500000,4,666,15100000,9400000,23300000,8000000, Approved
685,686,2, Not Graduate, No,6800000,14800000,14,803,11300000,3300000,19600000,6600000, Approved
2849,2850,3, Graduate, Yes,1200000,3300000,6,772,700000,900000,2900000,1400000, Approved
790,791,5, Not Graduate, Yes,4600000,14500000,14,561,2300000,6200000,10200000,5800000, Approved
1066,1067,0, Graduate, No,6800000,20800000,20,819,16500000,11900000,26700000,8000000, Approved
1171,1172,0, Graduate, No,5300000,19500000,12,802,9800000,3300000,15200000,3200000, Approved
3004,3005,0, Graduate, Yes,5300000,20200000,2,861,500000,800000,16500000,6200000, Approved
3181,3182,4, Not Graduate, Yes,8000000,31500000,16,763,14900000,8800000,17600000,8900000, Approved
1279,1280,0, Not Graduate, Yes,5500000,16300000,10,724,11900000,1500000,11900000,6200000, Approved
3359,3360,4, Graduate, No,5800000,14700000,10,692,2300000,10100000,17700000,3900000, Approved
4073,4074,3, Graduate, No,900000,2800000,10,560,2700000,300000,1900000,1300000, Approved
3108,3109,1, Not Graduate, Yes,7800000,17200000,4,597,3700000,12700000,17400000,8500000, Approved
2168,2169,3, Graduate, Yes,4100000,14700000,6,679,6600000,3700000,10500000,5600000, Approved
1238,1239,3, Graduate, Yes,1900000,5900000,8,651,700000,2100000,6200000,1500000, Approved
919,920,0, Not Graduate, Yes,8800000,25600000,10,715,25300000,2500000,34900000,8600000, Approved
860,861,4, Graduate, No,6200000,17300000,6,837,12600000,3700000,24700000,4600000, Approved
246,247,2, Not Graduate, No,8000000,29300000,4,600,16500000,13200000,29400000,6500000, Approved
1254,1255,5, Not Graduate, Yes,9800000,35700000,10,726,9400000,18900000,31200000,12000000, Approved
4263,4264,3, Graduate, No,5000000,12700000,14,865,4700000,8100000,19500000,6300000, Approved
785,786,2, Not Graduate, Yes,600000,2100000,18,572,400000,500000,1400000,300000, Approved
443,444,2, Graduate, No,7700000,16700000,6,555,12900000,2900000,18100000,8500000, Approved
2777,2778,5, Graduate, Yes,8800000,21300000,14,852,8000000,6400000,28500000,9900000, Approved
1353,1354,3, Not Graduate, Yes,2700000,6100000,14,630,3900000,2800000,10600000,2300000, Approved
2097,2098,5, Not Graduate, No,900000,2800000,16,808,2100000,900000,3100000,800000, Approved
2461,2462,5, Graduate, No,6500000,24800000,8,779,7000000,9600000,15700000,8800000, Approved
1805,1806,5, Not Graduate, No,9900000,33600000,20,580,7000000,10800000,37400000,14700000, Approved
2568,2569,3, Not Graduate, Yes,4400000,16300000,20,561,5500000,8000000,12000000,4000000, Approved
2202,2203,2, Not Graduate, Yes,7200000,21900000,12,640,0,11400000,14600000,3800000, Approved
2931,2932,4, Graduate, Yes,4900000,12800000,2,691,200000,4900000,14700000,7000000, Approved
916,917,1, Not Graduate, No,6900000,26200000,4,534,14500000,11900000,14900000,9400000, Approved
4152,4153,4, Not Graduate, No,8100000,19300000,14,821,16500000,8500000,25800000,8300000, Approved
1399,1400,0, Graduate, No,4800000,15100000,6,848,1300000,300000,18800000,3500000, Approved
1809,1810,0, Graduate, Yes,2900000,10800000,20,694,6400000,200000,10600000,2100000, Approved
2557,2558,2, Not Graduate, Yes,6700000,23100000,4,304,14400000,7100000,24300000,10000000, Approved
3801,3802,2, Graduate, No,1000000,3700000,18,892,2200000,800000,3000000,500000, Approved
2379,2380,5, Graduate, No,7300000,26200000,10,751,1400000,12200000,26700000,10400000, Approved
1306,1307,0, Graduate, Yes,5200000,15700000,6,692,3800000,7000000,12800000,5500000, Approved
3864,3865,5, Not Graduate, Yes,1100000,3900000,4,891,1100000,200000,3400000,900000, Approved
300,301,0, Not Graduate, Yes,9900000,38200000,6,573,17200000,10000000,20100000,5900000, Approved
1110,1111,5, Graduate, Yes,8100000,32100000,6,823,18200000,1800000,24100000,6500000, Approved
253,254,0, Graduate, No,8800000,30900000,12,729,1700000,700000,25700000,11400000, Approved
95,96,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000, Approved
1529,1530,3, Graduate, Yes,9000000,33600000,2,426,21600000,16200000,20700000,11900000, Approved
3112,3113,0, Not Graduate, Yes,5200000,15400000,4,675,15300000,8800000,12800000,2900000, Approved
332,333,2, Not Graduate, Yes,4600000,18400000,2,555,7700000,2400000,14200000,4200000, Approved
1914,1915,0, Not Graduate, No,500000,1800000,2,651,700000,0,1700000,200000, Approved
2954,2955,0, Not Graduate, Yes,1800000,3900000,2,764,2200000,700000,3500000,1200000, Approved
2997,2998,4, Not Graduate, Yes,7000000,19800000,16,682,9300000,5300000,14500000,7300000, Approved
19,20,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000, Approved
3247,3248,3, Graduate, Yes,1000000,2500000,6,808,2900000,600000,2000000,500000, Approved
529,530,2, Graduate, No,4600000,13500000,16,587,7700000,5900000,10600000,5000000, Approved
623,624,3, Not Graduate, Yes,8500000,27700000,4,457,3600000,400000,18900000,5200000, Approved
140,141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000, Approved
608,609,4, Graduate, Yes,4100000,12500000,2,579,10900000,7200000,12200000,2000000, Approved
3501,3502,1, Graduate, Yes,7600000,23900000,12,692,500000,12200000,27000000,5000000, Approved
1594,1595,3, Graduate, Yes,8800000,30200000,8,607,13600000,12700000,21500000,5900000, Approved
2301,2302,4, Not Graduate, No,600000,1600000,6,784,300000,100000,1900000,500000, Approved
3717,3718,4, Graduate, No,5600000,12000000,4,719,5600000,2900000,14500000,3400000, Approved
2243,2244,3, Graduate, No,8200000,28300000,2,530,15000000,10500000,20200000,12100000, Approved
4234,4235,3, Not Graduate, Yes,1500000,5100000,14,837,4100000,1000000,3300000,1400000, Approved
3889,3890,4, Graduate, Yes,3200000,12800000,18,664,6300000,3400000,7600000,2100000, Approved
4170,4171,1, Not Graduate, No,7200000,28100000,14,767,10000000,10400000,27500000,4000000, Approved
446,447,0, Graduate, Yes,1400000,5100000,6,890,4100000,1900000,5200000,1900000, Approved
944,945,2, Graduate, No,7900000,18500000,18,727,20200000,12400000,19600000,7100000, Approved
820,821,0, Not Graduate, Yes,3300000,10400000,4,423,7400000,4700000,11600000,3200000, Approved
4008,4009,1, Not Graduate, No,5300000,17800000,12,889,15300000,500000,14900000,6800000, Approved
2947,2948,1, Not Graduate, Yes,3400000,9700000,20,830,3500000,6400000,10300000,4800000, Approved
268,269,0, Not Graduate, No,5400000,16800000,10,599,5300000,7400000,14500000,7600000, Approved
2543,2544,0, Not Graduate, Yes,1900000,6300000,16,811,1100000,100000,5100000,1900000, Approved
4227,4228,4, Graduate, Yes,400000,1400000,2,496,400000,200000,1100000,400000, Approved
1613,1614,5, Graduate, No,6700000,17200000,18,613,9700000,6800000,24600000,7100000, Approved
2923,2924,0, Graduate, Yes,8500000,20000000,16,786,13300000,7400000,17700000,8900000, Approved
3575,3576,4, Not Graduate, No,7400000,15400000,6,677,22000000,13500000,28900000,7400000, Approved
3297,3298,3, Not Graduate, Yes,6000000,21300000,4,802,4700000,8900000,17300000,7600000, Approved
3756,3757,1, Not Graduate, No,5100000,20000000,4,506,7900000,8900000,20300000,6700000, Approved
2515,2516,2, Not Graduate, Yes,5700000,20500000,20,581,15200000,7800000,11400000,8500000, Approved
3026,3027,0, Graduate, Yes,2700000,9700000,20,551,1300000,1300000,7100000,1600000, Approved
616,617,0, Not Graduate, No,4500000,14500000,2,766,6100000,8400000,17200000,6600000, Approved
265,266,0, Graduate, No,8300000,19400000,18,649,2500000,16100000,24300000,11300000, Approved
2319,2320,2, Graduate, Yes,1900000,6500000,16,887,2000000,1200000,4500000,1700000, Approved
3093,3094,5, Not Graduate, No,1400000,5300000,12,778,1600000,700000,4400000,700000, Approved
1979,1980,0, Graduate, No,8300000,31400000,18,558,13300000,2900000,25900000,6300000, Approved
3352,3353,5, Not Graduate, No,7900000,27800000,16,857,23300000,12500000,17200000,10600000, Approved
3289,3290,4, Not Graduate, No,4400000,9800000,18,732,2400000,2400000,15100000,4400000, Approved
1340,1341,5, Not Graduate, No,6200000,24200000,18,610,10200000,7800000,19600000,8300000, Approved
2477,2478,4, Graduate, Yes,7300000,17200000,18,831,18500000,4300000,23000000,5200000, Approved
2956,2957,3, Not Graduate, No,3600000,9800000,12,654,600000,1300000,7500000,2200000, Approved
3401,3402,4, Not Graduate, Yes,8600000,26800000,12,802,7400000,2800000,32100000,11700000, Approved
3103,3104,1, Not Graduate, Yes,5200000,20700000,12,612,2200000,2600000,16500000,3200000, Approved
2437,2438,3, Graduate, Yes,1100000,3800000,20,814,1400000,1500000,3200000,1100000, Approved
442,443,5, Graduate, No,8000000,26700000,20,794,8000000,14700000,29900000,7800000, Approved
4102,4103,2, Not Graduate, Yes,3300000,10700000,8,806,5700000,600000,11500000,4900000, Approved
1368,1369,3, Not Graduate, No,6800000,17900000,6,783,20000000,9800000,23600000,5500000, Approved
3266,3267,4, Not Graduate, Yes,2400000,9400000,2,871,3700000,300000,7100000,3500000, Approved
2637,2638,0, Not Graduate, No,5100000,19900000,12,867,1800000,7100000,18300000,5700000, Approved
3507,3508,0, Not Graduate, Yes,9600000,23800000,12,788,9900000,14400000,21200000,10400000, Approved
3134,3135,3, Not Graduate, No,1800000,5700000,2,422,4800000,0,3700000,2300000, Approved
3553,3554,5, Graduate, No,1800000,6000000,4,548,1400000,2400000,6500000,2600000, Approved
1518,1519,4, Graduate, Yes,2400000,7100000,16,871,7000000,300000,8500000,3500000, Approved
492,493,2, Graduate, Yes,8600000,28800000,8,890,23300000,5900000,21200000,7200000, Approved
1036,1037,3, Graduate, Yes,7800000,26300000,20,840,1200000,11300000,24100000,5300000, Approved
4078,4079,3, Graduate, Yes,7800000,20000000,14,727,4600000,7200000,17300000,8600000, Approved
2417,2418,4, Not Graduate, Yes,7800000,26800000,2,474,8900000,11200000,18400000,5600000, Approved
1344,1345,0, Not Graduate, Yes,9500000,34900000,4,535,800000,14100000,25600000,14000000, Approved
3599,3600,2, Not Graduate, Yes,5200000,12900000,18,644,400000,5000000,12000000,7500000, Approved
1439,1440,3, Not Graduate, No,3900000,10500000,20,821,1600000,6300000,11000000,3900000, Approved
1847,1848,4, Graduate, No,4600000,16600000,16,805,4800000,8000000,11500000,2800000, Approved
1503,1504,0, Graduate, No,2000000,4700000,6,785,2900000,1800000,6700000,1700000, Approved
1605,1606,3, Not Graduate, Yes,8800000,26200000,20,865,19300000,9800000,27700000,12500000, Approved
1516,1517,5, Graduate, No,8800000,21600000,18,613,15400000,12100000,30000000,8400000, Approved
71,72,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000, Approved
1973,1974,3, Graduate, No,4500000,16900000,18,748,8500000,7200000,15100000,6600000, Approved
4213,4214,2, Not Graduate, Yes,3200000,9700000,6,737,7300000,3500000,9700000,2600000, Approved
2032,2033,4, Graduate, Yes,1400000,2900000,6,723,3800000,0,4700000,1600000, Approved
1460,1461,1, Graduate, No,4100000,10000000,6,891,4900000,300000,12600000,3600000, Approved
716,717,3, Graduate, No,6800000,21200000,2,433,10700000,1900000,23200000,6300000, Approved
2266,2267,5, Not Graduate, Yes,9200000,36300000,2,655,3000000,1200000,32200000,8700000, Approved
951,952,5, Not Graduate, No,1100000,2500000,4,827,2400000,1000000,4100000,600000, Approved
6,7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000, Approved
2808,2809,4, Graduate, No,5500000,18600000,12,569,13500000,6200000,19700000,7300000, Approved
1498,1499,1, Not Graduate, No,2900000,7400000,10,874,400000,1200000,10100000,3300000, Approved
937,938,5, Graduate, Yes,5900000,15600000,2,730,12600000,4700000,15900000,5900000, Approved
1753,1754,3, Not Graduate, No,5500000,16200000,18,778,4700000,10700000,15300000,6100000, Approved
647,648,0, Graduate, No,3000000,9600000,12,620,7900000,0,8600000,3600000, Approved
1592,1593,2, Not Graduate, Yes,7400000,14900000,20,627,15900000,10100000,19000000,10300000, Approved
2868,2869,0, Not Graduate, No,8900000,19100000,2,725,8300000,15000000,19000000,8800000, Approved
1564,1565,2, Not Graduate, No,2700000,5900000,14,662,3200000,1600000,7300000,3800000, Approved
1342,1343,3, Not Graduate, No,2400000,8100000,6,630,5100000,2900000,9100000,2300000, Approved
1959,1960,2, Not Graduate, Yes,3300000,11300000,6,647,5100000,6000000,12800000,4400000, Approved
2118,2119,1, Not Graduate, No,2800000,6800000,18,596,7900000,400000,7300000,1500000, Approved
845,846,1, Graduate, Yes,600000,1800000,8,799,1000000,700000,2200000,800000, Approved
3755,3756,1, Not Graduate, No,8900000,20000000,2,653,12700000,600000,17800000,9900000, Approved
3326,3327,3, Graduate, No,1500000,3200000,4,767,2000000,400000,3700000,1400000, Approved
3970,3971,4, Not Graduate, No,4200000,9400000,4,726,10000000,8100000,16100000,5500000, Approved
2589,2590,4, Graduate, No,6700000,16000000,4,791,0,13000000,20700000,5200000, Approved
1757,1758,5, Not Graduate, No,5800000,22800000,12,600,16000000,1100000,20700000,5700000, Approved
3945,3946,4, Not Graduate, Yes,7900000,27300000,10,560,23100000,14400000,28500000,10900000, Approved
2520,2521,5, Graduate, No,9300000,34000000,6,742,4200000,600000,32800000,8200000, Approved
4267,4268,1, Not Graduate, No,4100000,12800000,8,780,8200000,700000,14100000,5800000, Approved
586,587,3, Not Graduate, Yes,9100000,24600000,2,741,8000000,4000000,35500000,13600000, Approved
1019,1020,2, Not Graduate, Yes,3000000,7800000,14,555,6600000,2700000,9600000,1700000, Approved
1436,1437,3, Graduate, No,5300000,15000000,6,717,7000000,4100000,17100000,5300000, Approved
3663,3664,5, Graduate, Yes,4500000,17100000,2,639,10600000,7500000,12000000,6500000, Approved
2803,2804,0, Graduate, No,6000000,23600000,6,776,13800000,2700000,23400000,8800000, Approved
3794,3795,4, Not Graduate, Yes,6900000,18300000,18,715,8200000,600000,15000000,7500000, Approved
4035,4036,1, Not Graduate, No,7300000,19200000,14,599,18400000,5400000,15900000,3700000, Approved
3854,3855,0, Not Graduate, Yes,3100000,8500000,8,614,1700000,4600000,11000000,3300000, Approved
3216,3217,5, Not Graduate, No,3900000,14900000,12,837,1100000,500000,14400000,3600000, Approved
527,528,1, Not Graduate, Yes,2100000,4900000,10,744,200000,2000000,5400000,1000000, Approved
119,120,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000, Approved
75,76,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000, Approved
317,318,1, Graduate, No,4400000,10800000,12,674,9600000,2700000,17200000,5300000, Approved
3397,3398,0, Graduate, Yes,9200000,29400000,2,868,9200000,13800000,32000000,5300000, Approved
3331,3332,3, Graduate, No,1900000,4100000,12,830,4600000,1100000,5300000,2100000, Approved
130,131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000, Approved
613,614,2, Graduate, Yes,3500000,8100000,4,589,3800000,6700000,12500000,2700000, Approved
841,842,0, Graduate, Yes,8300000,30000000,4,600,14600000,12500000,24800000,12000000, Approved
3171,3172,0, Graduate, No,8400000,19800000,16,674,500000,12200000,27400000,10700000, Approved
2959,2960,5, Graduate, No,9000000,24200000,4,646,12400000,5500000,18100000,11900000, Approved
1780,1781,5, Graduate, Yes,2400000,8200000,10,709,2100000,3700000,8800000,2800000, Approved
783,784,4, Not Graduate, No,2200000,8500000,16,866,4000000,1900000,6800000,2800000, Approved
786,787,4, Graduate, No,2200000,8600000,6,601,2700000,2900000,6700000,3300000, Approved
3576,3577,4, Not Graduate, Yes,5700000,14400000,12,645,14500000,8600000,12900000,4700000, Approved
3102,3103,0, Graduate, Yes,8500000,25300000,20,557,13000000,5100000,23900000,7100000, Approved
609,610,4, Not Graduate, No,8300000,17900000,20,846,12700000,1300000,26800000,12200000, Approved
3533,3534,5, Not Graduate, No,4200000,12600000,18,571,8900000,3200000,11700000,6200000, Approved
3525,3526,5, Not Graduate, No,2600000,8200000,4,849,7400000,2000000,8900000,2700000, Approved
3420,3421,1, Not Graduate, Yes,6300000,23900000,10,844,16300000,4900000,16800000,4500000, Approved
2445,2446,0, Graduate, Yes,8600000,29400000,16,643,1000000,14100000,33000000,12300000, Approved
1067,1068,2, Graduate, Yes,4200000,16800000,2,433,3300000,0,14100000,3700000, Approved
3459,3460,5, Not Graduate, Yes,5200000,11800000,18,711,14300000,5100000,15500000,4500000, Approved
2466,2467,3, Graduate, Yes,4100000,14600000,16,760,4700000,6600000,14900000,3000000, Approved
1084,1085,4, Not Graduate, No,8900000,21100000,6,631,4200000,200000,25800000,6200000, Approved
2734,2735,1, Not Graduate, Yes,8000000,27800000,8,804,7900000,1600000,27100000,11800000, Approved
886,887,5, Not Graduate, Yes,4400000,8900000,4,761,8100000,1000000,14200000,3000000, Approved
3384,3385,0, Not Graduate, No,1900000,6900000,4,749,2100000,3700000,4300000,2200000, Approved
1458,1459,2, Graduate, No,6900000,20900000,2,302,18700000,10700000,26900000,9200000, Approved
399,400,2, Not Graduate, No,7100000,21500000,16,610,5800000,12100000,14200000,9300000, Approved
3628,3629,2, Graduate, Yes,8600000,32500000,4,758,20900000,600000,18000000,6900000, Approved
1112,1113,1, Graduate, No,1600000,6300000,2,721,3000000,600000,5200000,900000, Approved
585,586,0, Not Graduate, Yes,1900000,5700000,18,699,5500000,200000,6500000,2000000, Approved
1392,1393,0, Graduate, Yes,400000,900000,2,855,-100000,500000,1300000,400000, Approved
3328,3329,5, Graduate, Yes,7200000,21300000,2,801,9900000,1700000,20400000,7200000, Approved
2277,2278,3, Graduate, No,6300000,13900000,18,748,17700000,8800000,21700000,8600000, Approved
1200,1201,0, Not Graduate, Yes,300000,800000,4,603,800000,200000,600000,200000, Approved
2801,2802,3, Graduate, Yes,4400000,10000000,8,875,5900000,5200000,11700000,4100000, Approved
538,539,5, Not Graduate, Yes,8600000,26300000,10,843,23300000,9800000,18100000,11300000, Approved
2800,2801,1, Graduate, No,5200000,15000000,12,794,3200000,7200000,16500000,5100000, Approved
4006,4007,5, Not Graduate, No,5100000,13500000,20,840,1400000,5300000,14700000,4500000, Approved
271,272,5, Graduate, No,9400000,27900000,4,870,1100000,200000,29500000,10400000, Approved
524,525,3, Graduate, Yes,9800000,28200000,12,721,15800000,6500000,21900000,9600000, Approved
36,37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000, Approved
2456,2457,0, Not Graduate, Yes,7900000,26300000,8,666,4600000,9200000,18400000,11800000, Approved
2444,2445,5, Not Graduate, Yes,5800000,12400000,6,847,5100000,9000000,14100000,7600000, Approved
2767,2768,0, Graduate, Yes,2600000,7500000,2,853,4200000,3900000,9600000,1400000, Approved
3350,3351,3, Not Graduate, Yes,4100000,13300000,10,670,1900000,5500000,13200000,6100000, Approved
2730,2731,2, Graduate, Yes,9900000,33400000,14,783,16600000,16100000,21000000,9500000, Approved
1627,1628,4, Graduate, Yes,700000,1800000,20,626,500000,600000,1400000,300000, Approved
1994,1995,0, Not Graduate, No,800000,2400000,2,716,700000,1200000,3100000,400000, Approved
2966,2967,4, Not Graduate, Yes,3500000,11300000,16,874,1400000,3800000,10100000,3700000, Approved
782,783,3, Not Graduate, No,5800000,20100000,18,791,1400000,10800000,16300000,5600000, Approved
1583,1584,2, Not Graduate, No,3700000,10900000,12,788,1700000,700000,12200000,2600000, Approved
3377,3378,1, Graduate, Yes,6700000,18800000,6,798,8700000,5900000,18000000,6100000, Approved
3708,3709,3, Graduate, No,6100000,20700000,4,816,14900000,5400000,24200000,5900000, Approved
533,534,2, Graduate, Yes,1700000,4300000,6,765,5000000,1500000,3400000,900000, Approved
650,651,0, Graduate, Yes,9800000,32600000,10,704,7000000,12100000,30000000,4900000, Approved
2436,2437,4, Not Graduate, No,900000,2600000,2,602,600000,800000,3200000,1000000, Approved
778,779,1, Graduate, Yes,2400000,8300000,6,684,5500000,3500000,5300000,2300000, Approved
4115,4116,4, Not Graduate, Yes,3200000,6800000,16,675,8000000,1900000,6800000,4000000, Approved
2286,2287,4, Graduate, No,7100000,27200000,16,824,2400000,8000000,22400000,3900000, Approved
1181,1182,2, Not Graduate, Yes,7300000,28500000,10,799,21500000,3100000,15800000,4300000, Approved
1920,1921,4, Not Graduate, No,500000,1300000,6,809,200000,300000,900000,500000, Approved
3137,3138,2, Not Graduate, Yes,6700000,20200000,6,701,8800000,12200000,13900000,8200000, Approved
486,487,2, Not Graduate, No,2400000,6200000,12,860,4900000,3700000,9500000,1100000, Approved
428,429,4, Not Graduate, Yes,400000,900000,20,771,1000000,500000,1600000,500000, Approved
2794,2795,3, Graduate, Yes,5800000,17600000,6,720,4900000,4200000,18800000,6600000, Approved
2696,2697,0, Not Graduate, Yes,2400000,5200000,16,740,6300000,1000000,7500000,2900000, Approved
2541,2542,3, Not Graduate, Yes,8400000,29500000,20,661,14600000,3400000,28900000,10900000, Approved
2789,2790,3, Graduate, No,6600000,22200000,12,759,8900000,2200000,18700000,8500000, Approved
2109,2110,3, Not Graduate, No,9100000,27400000,18,652,8500000,7300000,31700000,6800000, Approved
3347,3348,2, Not Graduate, No,9700000,37700000,6,601,300000,3100000,23800000,11800000, Approved
1509,1510,3, Graduate, No,1000000,2800000,4,757,2500000,100000,3800000,900000, Approved
641,642,0, Graduate, Yes,7100000,20100000,16,756,8000000,5000000,17600000,5400000, Approved
3861,3862,1, Not Graduate, Yes,5400000,13600000,4,821,11600000,8700000,19900000,5600000, Approved
193,194,2, Graduate, No,4800000,13200000,2,583,13700000,5800000,9500000,5200000, Approved
4046,4047,2, Graduate, No,6500000,16200000,10,809,14000000,4700000,13200000,8600000, Approved
1265,1266,1, Graduate, No,8100000,28400000,6,744,20300000,10500000,21800000,7700000, Approved
166,167,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000, Approved
2232,2233,2, Not Graduate, No,6100000,15300000,2,799,7100000,5500000,17800000,5300000, Approved
2670,2671,5, Graduate, Yes,600000,1400000,10,877,1400000,400000,2000000,700000, Approved
1556,1557,5, Not Graduate, Yes,5600000,20500000,8,873,5500000,9500000,19400000,7800000, Approved
1702,1703,5, Graduate, No,6100000,17800000,6,849,2900000,10900000,16100000,7800000, Approved
243,244,1, Not Graduate, Yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000, Approved
2572,2573,4, Graduate, Yes,7000000,19600000,8,708,17600000,2600000,24300000,4500000, Approved
2289,2290,0, Not Graduate, Yes,4500000,16900000,8,773,6300000,6800000,14000000,6000000, Approved
2634,2635,5, Graduate, No,5300000,20500000,16,802,11200000,7100000,21100000,4100000, Approved
2805,2806,3, Graduate, No,2800000,10900000,2,710,600000,2400000,5600000,3600000, Approved
3659,3660,4, Not Graduate, Yes,2500000,5100000,20,695,1100000,4100000,6700000,3500000, Approved
2256,2257,3, Graduate, No,8000000,18600000,20,565,1600000,8600000,22500000,9400000, Approved
3095,3096,4, Graduate, Yes,4100000,10400000,12,727,11900000,5900000,16400000,4400000, Approved
